"school","official_website","city","state","association","division","conference","head_coach","tuition","size_category","enrollment","religious_affiliation"
"Caldwell University","https://www.caldwell.edu/","Caldwell","New Jersey","NCAA",2,"Central Atlantic Collegiate Conference","Dominic Scorcia",39450,"Small",1392,"Catholic"
"Calvin University","https://calvin.edu/","Grand Rapids","Michigan","NCAA",3,"Michigan Intercollegiate Athletic Association","Dave Hoger",40500,"Medium",2739,"Calvinist/Reformed"
"Canisius College","https://www.canisius.edu/","Buffalo","New York","NCAA",1,"Metro Atlantic Athletic Conference","Mark Miyashita",33330,"Small",1731,"Catholic"
"Capital University","https://www.capital.edu/","Columbus","Ohio","NCAA",3,"Ohio Athletic Conference","Adam Stewart",43234,"Small",1678,"Lutheran"
"Carroll University","https://www.carrollu.edu/","Waukesha","Wisconsin","NCAA",3,"College Conference of Illinois and Wisconsin","Gabe Pearlman",37230,"Medium",2454,"Presbyterian"
"Carthage College","https://www.carthage.edu/","Kenosha","Wisconsin","NCAA",3,"College Conference of Illinois and Wisconsin","David Neff",36500,"Medium",2600,"None"
"Castleton University","https://www.vermontstate.edu/","Castleton","Vermont","NCAA",3,"Eastern Collegiate Football Conference","Nathan Snitz",20688,"Small",1461,"None"
"Catawba College","https://www.catawba.edu/","Salisbury","North Carolina","NCAA",2,"South Atlantic Conference","Mike Murphy",34300,"Small",1094,"None"
"Catholic University of America","https://www.catholic.edu/index.html","Washington","District Of Columbia","NCAA",3,"New England Women's & Men's Athletic Conference","Peter Donley",55834,"Medium",2885,"Catholic"
"Centenary College of Louisiana","https://www.centenary.edu/","Shreveport","Louisiana","NCAA",3,"Southern Collegiate Athletic Conference","Billy LeClair",41200,"Small",684,"Methodist"
"Centenary University – New Jersey","https://www.centenaryuniversity.edu/","Hackettstown","New Jersey","NCAA",3,"Colonial States Athletic Conference","Joe Lodato",36636,"Small",901,"Methodist"
"Centre College","https://www.centre.edu/","Danville","Kentucky","NCAA",3,"Southern Athletic Association","Phil Havira",54890,"Small",1395,"None"
"Chatham University","https://www.chatham.edu/","Pittsburgh","Pennsylvania","NCAA",3,"Presidents' Athletic Conference","Joe Conner",42250,"Small",1219,"None"
"Chestnut Hill College","https://www.chc.edu/","Philadelphia","Pennsylvania","NCAA",2,"Central Atlantic Collegiate Conference","Jim DeCarlo",39410,"Small",796,"Catholic"
"Chowan University","https://www.chowan.edu/","Murfreesboro","North Carolina","NCAA",2,"Conference Carolinas","P.R. Simshauser",27910,"Small",809,"Baptist"
"Christopher Newport University","https://cnu.edu/","Newport News","Virginia","NCAA",3,"Capital Athletic Conference","Mikey Thompson",31178,"Medium",4321,"None"
"Clark University","https://www.clarku.edu/","Worcester","Massachusetts","NCAA",3,"New England Women's & Men's Athletic Conference","Matt Colombini",59680,"Medium",2322,"None"
"Clarke University","https://www.clarke.edu/","Dubuque","Iowa","NAIA","","Heart of America Athletic Conference","Tucker La Belle",41000,"Small",725,"Catholic"
"Clarkson University","https://www.clarkson.edu/","Potsdam","New York","NCAA",3,"Liberty League","Bill Bergan",57950,"Medium",2478,"None"
"Cleveland State University","https://www.csuohio.edu/","Cleveland","Ohio","NCAA",1,"Horizon League","Andy German",17973,"Medium",7537,"None"
"Coker University","https://coker.edu/","Hartsville","South Carolina","NCAA",2,"South Atlantic Conference","Austin Ambrose",31854,"Small",766,"None"
"Colby College","https://www.colby.edu/","Waterville","Maine","NCAA",3,"New England Small College Athletic Conference","Jake Bernhardt",69600,"Medium",2282,"None"
"Colgate University","https://www.colgate.edu/","Hamilton","New York","NCAA",1,"Patriot League","Matt Karweck",73206,"Medium",3112,"None"
"College of DuPage","https://www.cod.edu/","Glen Ellyn","Illinois","JC","","Region 4","Bill Sanford",12510,"Medium",7142,"None"
"College of Mount Saint Vincent","https://mountsaintvincent.edu/","Bronx","New York","NCAA",3,"Skyline Conference","James Fitzgerald",44700,"Medium",2228,"Catholic"
"College of the Holy Cross","https://www.holycross.edu/","Worcester","Massachusetts","NCAA",1,"Patriot League","J.L. Reppert",68090,"Medium",3210,"Catholic"
"College of Wooster","https://wooster.edu/","Wooster","Ohio","NCAA",3,"North Coast Athletic Conference","Eric Seideman",64210,"Small",1723,"None"
"Colorado College","https://www.coloradocollege.edu/","Colorado Springs","Colorado","NCAA",3,"Southern Collegiate Athletic Conference","Mike Horowitz",73038,"Medium",2150,"None"
"Colorado Mesa University","https://www.coloradomesa.edu/","Grand Junction","Colorado","NCAA",2,"Rocky Mountain Athletic Conference","Troy Moyer",27843,"Medium",7068,"None"
"Colorado State University – Pueblo","https://www.csupueblo.edu/","Pueblo","Colorado","NCAA",2,"Rocky Mountain Athletic Conference","Sean Blair",17242,"Medium",2565,"None"
"Columbia College – Missouri","https://www.ccis.edu/","Columbia","Missouri","NAIA","","American Midwest Conference","Billy Dineen",24326,"Medium",2382,"Calvinist/Reformed"
"Concordia University – Chicago","https://www.cuchicago.edu/","River Forest","Illinois","NCAA",3,"Northern Athletics Collegiate Conference","Christopher Button",36258,"Small",1184,"Lutheran"
"Concordia University Wisconsin","https://www.cuw.edu/","Mequon","Wisconsin","NCAA",3,"Northern Athletics Collegiate Conference","Michael Fahey",34950,"Small",1927,"Lutheran"
"Connecticut College","https://www.conncoll.edu/","New London","Connecticut","NCAA",3,"New England Small College Athletic Conference","Jim Nagle",64812,"Small",1959,"None"
"Cornell College","https://www.cornellcollege.edu/","Mount Vernon","Iowa","NCAA",3,"Midwest Conference","Jack Spallone",50634,"Small",1075,"None"
"Cornell University","https://www.cornell.edu/","Ithaca","New York","NCAA",1,"Ivy League","Connor Buczek",88150,"Large",15899,"None"
"Curry College","https://www.curry.edu/","Milton","Massachusetts","NCAA",3,"Commonwealth Coast Conference","John Carroll",47140,"Small",1651,"None"
"D'Youville University","https://www.dyu.edu/","Buffalo","New York","NCAA",2,"East Coast Conference","Jack Wilson",33560,"Small",1068,"None"
"Dartmouth College","https://home.dartmouth.edu/","Hanover","New Hampshire","NCAA",1,"Ivy League","Sean Kirwan",65739,"Medium",4419,"None"
"Davenport University","https://www.davenport.edu/","Grand Rapids","Michigan","NCAA",2,"Great Lakes Valley Conference","Chris Esquivel",23324,"Small",1985,"None"
"Davis & Elkins College","https://www.dewv.edu/","Elkins","West Virginia","NCAA",2,"Great Midwest Athletic Conference","Tycen Allan",31270,"Small",653,"Presbyterian"
"Dean College","https://www.dean.edu/","Franklin","Massachusetts","NCAA",3,"Eastern Collegiate Football Conference","Matt Schairer",45260,"Small",1103,"None"
"Delaware Technical Community College","","Dover","Delaware","JC","","Eastern Pennsylvania Athletic Conference","","","","",""
"Delaware Valley University","https://delval.edu/","Doylestown","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Spencer MacQuarrie",43300,"Small",1583,"None"
"Denison University","https://www.denison.edu/","Granville","Ohio","NCAA",3,"North Coast Athletic Conference","Eric Koch",64000,"Medium",2391,"None"
"DePauw University","https://www.depauw.edu/","Greencastle","Indiana","NCAA",3,"North Coast Athletic Conference","Dan Ambrose",56990,"Small",1727,"None"
"DeSales University","https://www.desales.edu/","Center Valley","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Matthew Brancaccio",46500,"Small",1764,"Catholic"
"Dickinson College","https://www.dickinson.edu/","Carlisle","Pennsylvania","NCAA",3,"Centennial Conference","James Lettieri",62900,"Medium",2096,"None"
"Dominican University – New York","https://www.duny.edu/","Orangeburg","New York","NCAA",2,"Central Atlantic Collegiate Conference","Shelley Sheiner",34380,"Small",1025,"None"
"Drew University","https://drew.edu/","Madison","New Jersey","NCAA",3,"Landmark Conference","Dan Leidl",45360,"Small",1568,"Methodist"
"Drexel University","https://drexel.edu/","Philadelphia","Pennsylvania","NCAA",1,"Colonial Athletic Association","Tucker Durkin",60042,"Large",12505,"None"
"Duke University","https://duke.edu","Durham","North Carolina","NCAA",1,"Atlantic Coast Conference","Matt Danowski",73172,"Medium",6474,"None"
"Earlham College","https://earlham.edu/","Richmond","Indiana","NCAA",3,"Heartland Collegiate Athletic Conference","Taylor Lanzillo",53010,"Small",608,"Quaker"
"Eastern Connecticut State University","https://www.easternct.edu/","Willimantic","Connecticut","NCAA",3,"Little East Conference","Craig Gibson",17428,"Medium",3285,"None"
"Eastern University","https://www.eastern.edu","Saint Davids","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Tommy DeLuca",37680,"Small",1281,"Baptist"
"Edgewood College","https://www.edgewood.edu/","Madison","Wisconsin","NCAA",3,"Northern Athletics Collegiate Conference","Mitch Wilkins",34850,"Small",1053,"Catholic"
"Elizabethtown College","https://www.etown.edu/","Elizabethtown","Pennsylvania","NCAA",3,"Landmark Conference","Kyle McGuire",38370,"Small",1756,"Anabaptist"
"Elmhurst University","https://www.elmhurst.edu/","Elmhurst","Illinois","NCAA",3,"College Conference of Illinois and Wisconsin","Mark Morrell",41628,"Medium",2938,"Calvinist/Reformed"
"Embry-Riddle Aeronautical University","https://daytonabeach.erau.edu/","Daytona Beach","Florida","NCAA",2,"Sunshine State Conference","John Jez",44160,"Medium",7187,"None"
"Emerson College","https://emerson.edu/","Boston","Massachusetts","NCAA",3,"New England Women's & Men's Athletic Conference","Ken Thornby",59044,"Medium",3839,"None"
"Emmanuel College – Georgia","https://eu.edu/","Franklin Springs","Georgia","NCAA",2,"Conference Carolinas","Mark Destro",23664,"Small",702,"Pentecostal"
"Emmanuel College – Massachusetts","https://www.emmanuel.edu/","Boston","Massachusetts","NCAA",3,"Great Northeast Athletic Conference","Trevor Craven",51094,"Small",1825,"Catholic"
"Endicott College","https://www.endicott.edu/","Beverly","Massachusetts","NCAA",3,"Commonwealth Coast Football","Kevin Dean",39750,"Medium",3017,"None"
"Fairfield University","https://fairfield.edu/","Fairfield","Connecticut","NCAA",1,"Metro Atlantic Athletic Conference","Andrew Baxter",57450,"Medium",4655,"Catholic"
"Fairleigh Dickinson University – College at Florham","https://www.fdu.edu/","Madison","New Jersey","NCAA",3,"Middle Atlantic Conferences","Alex Stone",34400,"Small",1935,"None"
"Felician University","https://www.felician.edu/","Lodi","New Jersey","NCAA",2,"Central Atlantic Collegiate Conference","Brendan Bonacum",37830,"Small",1683,"Catholic"
"Ferrum College","https://www.ferrum.edu/","Ferrum","Virginia","NCAA",3,"USA South Athletic Conference","",27400,"Small",730,"Methodist"
"Finger Lakes Community College","https://www.flcc.edu/","Canandaigua","New York","JC","","Mid-State Athletic Conference","Josh Kierst",8250,"Medium",2070,"None"
"Flagler College – St. Augustine","https://www.flagler.edu/","Saint Augustine","Florida","NCAA",2,"Peach Belt Conference","Brian Duncan",26610,"Medium",2367,"None"
"Florida Southern College","https://www.flsouthern.edu/","Lakeland","Florida","NCAA",2,"Sunshine State Conference","Marty Ward",46168,"Medium",2527,"Methodist"
"Franciscan University of Steubenville","https://www.franciscan.edu/","Steubenville","Ohio","NCAA",3,"Allegheny Mountain Collegiate Conference","Pete Rosaschi",32630,"Medium",2571,"Catholic"
"Franklin & Marshall College","https://www.fandm.edu/","Lancaster","Pennsylvania","NCAA",3,"Centennial Conference","Todd Cavallaro",70794,"Small",1902,"None"
"Franklin Pierce University","https://www.franklinpierce.edu/","Rindge","New Hampshire","NCAA",2,"Northeast-10 Conference","Ryon Lynch",44963,"Small",872,"None"
"Frostburg State University","https://www.frostburg.edu/","Frostburg","Maryland","NCAA",2,"East Coast Conference","Steve Gartelman",25180,"Medium",2523,"None"
"Georgetown University","https://www.georgetown.edu/","Washington","District Of Columbia","NCAA",1,"Big East Conference","Kevin Warne",65081,"Medium",7220,"Catholic"
"Georgian Court University","https://georgian.edu/","Lakewood","New Jersey","NCAA",2,"Central Atlantic Collegiate Conference","Mickey Hover",35360,"Small",1121,"Catholic"
