"school","official_website","city","state","association","division","conference","head_coach","tuition","size_category","enrollment","religious_affiliation"
"Lindenwood University","https://www.lindenwood.edu/","Saint Charles","Missouri","NCAA",1,"Ohio Valley Conference","Jim Lange",19900,"Medium",4053,"None"
"Lindenwood University","https://www.lindenwood.edu/","St. Charles","Missouri","NCAA",2,"ASUN Conference","Jim Lange",19900,"Medium",4053,"None"
"Long Island University","","Long Island","New York","NCAA",1,"Northeast Conference","","","",0,"None"
"Loyola University Maryland","https://www.loyola.edu/","Baltimore","Maryland","NCAA",1,"Patriot League","Charley Toomey",59150,"Medium",3847,"Catholic"
"Lycoming College","https://www.lycoming.edu/","Williamsport","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Tony Mackin",50944,"Small",1049,"None"
"Lynn University","https://www.lynn.edu/","Boca Raton","Florida","NCAA",2,"Sunshine State Conference","Mark Miller",42730,"Medium",2311,"None"
"Madonna University","https://www.madonna.edu/","Livonia","Michigan","NAIA","","Wolverine-Hoosier Athletic Conference","(Defensive Coordinator)Nick Pietras",29580,"Small",1329,"Catholic"
"Maine Maritime Academy","https://mainemaritime.edu/","Castine","Maine","NCAA",3,"New England Women's & Men's Athletic Conference","Brandon Melville",30226,"Small",861,"None"
"Malone University","https://www.malone.edu/","Canton","Ohio","NCAA",2,"Great Midwest Athletic Conference","Michael Campbell",35840,"Small",736,"Christian (General)"
"Manhattan College","https://www.manhattan.edu/","Riverdale","New York","NCAA",1,"Metro Atlantic Athletic Conference","Doug Sage",50850,"Medium",2783,"Catholic"
"Manhattanville College","https://www.mville.edu/","Purchase","New York","NCAA",3,"MAC Freedom Conference","Tom Albano",42950,"Small",1219,"None"
"Marian University – Wisconsin","https://www.marianuniversity.edu/","Fond du Lac","Wisconsin","NCAA",3,"Northern Athletics Collegiate Conference","James Daugherty",36824,"Small",914,"Catholic"
"Marietta College","https://www.marietta.edu/","Marietta","Ohio","NCAA",3,"Ohio Athletic Conference","",38974,"Small",1019,"None"
"Marist College","https://www.marist.edu/","Poughkeepsie","New York","NCAA",1,"Metro Atlantic Athletic Conference","Dave Scarcello",48800,"Medium",4881,"None"
"Marquette University","https://www.marquette.edu/","Milwaukee","Wisconsin","NCAA",1,"Big East Conference","Jake Richard",52070,"Medium",7599,"Catholic"
"Mars Hill University","https://www.mhu.edu/","Mars Hill","North Carolina","NCAA",2,"South Atlantic Conference","Josh Coons",37736,"Small",949,"None"
"Marymount University (VA)","https://www.marymount.edu/","Arlington","Virginia","NCAA",3,"Capital Athletic Conference","Jon Reynolds",41236,"Small",1721,"Catholic"
"Maryville University","https://www.maryville.edu/","Saint Louis","Missouri","NCAA",2,"Great Lakes Valley Conference","Scott Stark",27166,"Medium",2639,"None"
"Marywood University","https://www.marywood.edu/","Scranton","Pennsylvania","NCAA",3,"Colonial States Athletic Conference","Ryan Nowell",39570,"Small",1751,"Catholic"
"Massachusetts College of Liberal Arts","https://www.mcla.edu/","North Adams","Massachusetts","NCAA",3,"Massachusetts State Collegiate Athletic Conference","Kevin Pezanowski",20559,"Small",675,"None"
"Massachusetts Institute of Technology – MIT","https://web.mit.edu/","Cambridge","Massachusetts","NCAA",3,"New England Women's & Men's Athletic Conference","Tyler O'Keefe",60156,"Medium",4543,"None"
"McDaniel College","https://www.mcdaniel.edu/","Westminster","Maryland","NCAA",3,"Centennial Conference","T.C. DiBartolo",48672,"Small",1735,"None"
"Mercer County Community College","https://www.mccc.edu/","West Windsor","New Jersey","JC","","Garden State Athletic Conference","Matt Davies",8942,"Medium",2029,"None"
"Mercer University","https://www.mercer.edu/","Macon","Georgia","NCAA",1,"Southern Conference","Ryan Danehy",40890,"Medium",4177,"None"
"Mercy College","https://www.mercy.edu/","Dobbs Ferry","New York","NCAA",2,"East Coast Conference","Ryan MacSpadyen",23650,"Medium",5163,"None"
"Mercyhurst University","https://www.mercyhurst.edu/","Erie","Pennsylvania","NCAA",2,"Great Midwest Athletic Conference","Trey Keeley",44510,"Medium",2129,"Catholic"
"Merrimack College","https://www.merrimack.edu/","North Andover","Massachusetts","NCAA",1,"East Conference","Mike Sciamanna",51080,"Medium",3960,"Catholic"
"Messiah University","https://www.messiah.edu/","Mechanicsburg","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Jerry Standford",42540,"Medium",2254,"Christian (General)"
"Methodist University","https://www.methodist.edu/","Fayetteville","North Carolina","NCAA",3,"USA South Athletic Conference","Ryan McKay",39664,"Small",1346,"Methodist"
"Middlebury College","https://www.middlebury.edu/college/","Middlebury","Vermont","NCAA",3,"New England Small College Athletic Conference","Dave Campbell",65280,"Medium",2778,"None"
"Midland University","https://www.midlandu.edu/","Fremont","Nebraska","NAIA","","Great Plains Athletic Conference","Alex Myhre",41150,"Small",1333,"Lutheran"
"Milwaukee School of Engineering","https://www.msoe.edu/","Milwaukee","Wisconsin","NCAA",3,"Northern Athletics Collegiate Conference","Sean Farrell",46385,"Medium",2544,"None"
"Misericordia University","https://www.misericordia.edu/","Dallas","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Andrew Hauk",41000,"Small",1575,"Catholic"
"Missouri Baptist University","https://www.mobap.edu/","Saint Louis","Missouri","NAIA","","American Midwest Conference","Kelly Howell",33122,"Small",1371,"Baptist"
"Missouri Valley College","https://www.moval.edu/","Marshall","Missouri","NAIA","","Heart of America Athletic Conference","Josh Burns",23000,"Small",1253,"Presbyterian"
"Mitchell College","https://www.mitchell.edu/","New London","Connecticut","NCAA",3,"New England Collegiate Conference","JD LeMay",40490,"Small",409,"None"
"Molloy University","https://www.molloy.edu/","Rockville Centre","New York","NCAA",2,"East Coast Conference","Bill Dunn",39630,"Medium",2814,"Catholic"
"Monmouth College","","Monmouth","Illinois","NCAA",3,"Midwest Conference","","","","",""
"Monmouth University","https://www.monmouth.edu/","West Long Branch","New Jersey","NCAA",1,"Mid-Eastern Athletic Conference","Brian Fisher",44850,"Medium",3709,"None"
"Montclair State University","https://www.montclair.edu/","Montclair","New Jersey","NCAA",3,"New Jersey Athletic Conference","Matt Poskay",26002,"Large",16268,"None"
"Montreat College","https://www.montreat.edu/","Montreat","North Carolina","NAIA","","Appalachian Athletic Conference","Brian Holland",33860,"Small",676,"Christian (General)"
"Moravian University","https://www.moravian.edu/","Bethlehem","Pennsylvania","NCAA",3,"Centennial Conference","Dave Carty",53500,"Small",1861,"None"
"Morningside University","","Sioux City","Iowa","NAIA","","Great Plains Athletic Conference","","","","",""
"Mount Saint Mary College – New York","https://www.msmc.edu/","Newburgh","New York","NCAA",3,"Skyline Conference","Justin Lorenzo",45630,"Small",981,"Catholic"
"Mount St. Joseph University","https://www.msj.edu/","Cincinnati","Ohio","NCAA",3,"Heartland Collegiate Athletic Conference","Colin McSharar",38400,"Small",1062,"Catholic"
"Mount St. Mary's University","https://msmary.edu/","Emmitsburg","Maryland","NCAA",1,"Metro Atlantic Athletic Conference","Chris Ryan",47000,"Small",1719,"Catholic"
"Mount Vernon Nazarene University","https://www.mvnu.edu/","Mount Vernon","Ohio","NAIA","","Crossroads League","Ryan Farr",35524,"Small",1385,"Methodist"
"Muhlenberg College","https://www.muhlenberg.edu/","Allentown","Pennsylvania","NCAA",3,"Centennial Conference","Michael Sullinger",64510,"Small",1704,"None"
"Multnomah University","https://www.multnomah.edu/","Portland","Oregon","NAIA","","Cascade Collegiate Conference","",29560,"Small",294,"Christian (General)"
"Muskingum University","https://www.muskingum.edu/","New Concord","Ohio","NCAA",3,"Ohio Athletic Conference","Christian Hall",31440,"Small",1279,"Presbyterian"
"Nassau Community College","https://www.ncc.edu/","Garden City","New York","JC","","North Eastern Athletic","Karl Hedstrom",12130,"Medium",6755,"None"
"Nazareth College","https://www2.naz.edu/","Rochester","New York","NCAA",3,"Empire 8 Athletic Conference","Rob Randall",41870,"Small",1844,"None"
"Neumann University","https://www.neumann.edu/","Aston","Pennsylvania","NCAA",3,"Colonial States Athletic Conference","Evan Bohner",38120,"Small",1357,"Catholic"
"New England College","https://www.nec.edu/","Henniker","New Hampshire","NCAA",3,"North Atlantic Conference","Jedd Brown",41578,"Small",954,"None"
"New Jersey Institute of Technology","https://www.njit.edu/","Newark","New Jersey","NCAA",1,"American East Conference","Eric Wolf",35934,"Medium",7913,"None"
"Newberry College","https://www.newberry.edu/","Newberry","South Carolina","NCAA",2,"South Atlantic Conference","Nick Cotter",44600,"Small",1441,"Lutheran"
"Nichols College","https://www.nichols.edu/","Dudley","Massachusetts","NCAA",3,"Commonwealth Coast Football","Shayne Lynch",41115,"Small",1058,"None"
"North Central College","https://www.northcentralcollege.edu/","Naperville","Illinois","NCAA",3,"College Conference of Illinois and Wisconsin","Brendan Kearney",46810,"Medium",2454,"Methodist"
"North Central University","https://www.northcentral.edu/","Minneapolis","Minnesota","NCAA",3,"Upper Midwest Athletic Conference","",29460,"Small",756,"Pentecostal"
"North Greenville University","https://ngu.edu/","Tigerville","South Carolina","NCAA",2,"Conference Carolinas","Corey Struss",26620,"Small",1640,"Baptist"
"Northern Vermont University – Lyndon","","Lyndonville","Vermont","NCAA",3,"North Atlantic Conference","",20688,"Small",871,"None"
"Norwich University","https://www.norwich.edu/","Northfield","Vermont","NCAA",3,"New England Women's & Men's Athletic Conference","Dylan Curry",46860,"Medium",2112,"None"
"Oberlin College","https://www.oberlin.edu/","Oberlin","Ohio","NCAA",3,"North Coast Athletic Conference","Thomas Klosowski",66410,"Medium",2978,"None"
"Oglethorpe University","https://oglethorpe.edu/","Atlanta","Georgia","NCAA",3,"Southern Athletic Association","Jibril Stapleton",47180,"Small",1404,"None"
"Ohio Northern University","https://www.onu.edu/","Ada","Ohio","NCAA",3,"Ohio Athletic Conference","Nat St. Laurent",38250,"Medium",2569,"Methodist"
"Ohio State University","https://www.osu.edu/","Columbus","Ohio","NCAA",1,"Big Ten Conference","Travis Crane",40022,"Very Large",41983,"None"
"Ohio Wesleyan University","https://www.owu.edu/","Delaware","Ohio","NCAA",3,"North Coast Athletic Conference","Mike Plantholt",53888,"Small",1441,"None"
"Onondaga Community College","https://www.sunyocc.edu/","Syracuse","New York","JC","","Mid-State Athletic Conference","Erik Mattox",11332,"Medium",3161,"None"
"Ottawa University","","Ottawa","Kansas","NAIA","","Kansas Collegiate Athletic Conference","Kyle Beard",33380,"Small",776,"Baptist"
"Otterbein University","https://www.otterbein.edu/","Westerville","Ohio","NCAA",3,"Ohio Athletic Conference","Colin Hartnett",34899,"Small",1990,"Methodist"
"Pace University","https://www.pace.edu/","New York","New York","NCAA",2,"Northeast-10 Conference","Tom Mariano",49550,"Medium",7480,"None"
"Palm Beach Atlantic University","https://www.pba.edu/","West Palm Beach","Florida","NCAA",2,"Sunshine State Conference","Dan Carson",39400,"Medium",2316,"Christian (General)"
"Penn State","https://www.psu.edu/","University Park","Pennsylvania","NCAA",1,"Big Ten Conference","John Haus",40188,"Very Large",41011,"None"
"Pennsylvania College of Technology","https://www.pct.edu/","Williamsport","Pennsylvania","NCAA",3,"North Eastern Athletic Conference","",25680,"Medium",3517,"None"
"Pfeiffer University","https://www.pfeiffer.edu/","Misenheimer","North Carolina","NCAA",3,"USA South Athletic Conference",", Director of LacrosseTucker Nelson",33930,"Small",624,"Methodist"
"Piedmont University","https://www.piedmont.edu/","Demorest","Georgia","NCAA",3,"USA South Athletic Conference","Tim Dunton",32760,"Small",1135,"Calvinist/Reformed"
"Plymouth State University","https://www.plymouth.edu/","Plymouth","New Hampshire","NCAA",3,"Massachusetts State Collegiate Athletic Conference","Mike Wilus",26218,"Medium",3247,"None"
"Point University","https://point.edu/","West Point","Georgia","NAIA","","Apalachian Athletic Conference","Jordan Coates",22300,"Small",1012,"Restorationist"
"Post University","https://post.edu/","Waterbury","Connecticut","NCAA",2,"Central Atlantic Collegiate Conference","Pat Yannarelli",16610,"Medium",6048,"None"
"Princeton University","https://www.princeton.edu/","Princeton","New Jersey","NCAA",1,"Ivy League","Matt Madalon",59710,"Medium",5598,"None"
"Providence College","https://www.providence.edu/","Providence","Rhode Island","NCAA",1,"Big East Conference","Casey Brodersen",65960,"Medium",4482,"Catholic"
"Queens University of Charlotte","https://www.queens.edu/","Charlotte","North Carolina","NCAA",1,"Atlantic Sun Conference","Joe Turner",43285,"Small",1324,"None"
"Queens University of Charlotte","https://www.queens.edu/","Charlotte","North Carolina","NCAA",2,"ASUN Conference","Joe Turner",43285,"Small",1324,"None"
"Quincy University","https://www.quincy.edu/","Quincy","Illinois","NCAA",2,"Great Lakes Valley Conference","Jake Acevedo",35740,"Small",1011,"Catholic"
"Quinnipiac University","https://www.qu.edu/","Hamden","Connecticut","NCAA",1,"Metro Atlantic Athletic Conference","Mason Poli",52310,"Medium",6070,"None"
"Randolph College","https://www.randolphcollege.edu/","Lynchburg","Virginia","NCAA",3,"Old Dominion Athletic Conference","Andy Sinclair",29010,"Small",523,"None"
"Randolph-Macon College","https://www.rmc.edu/","Ashland","Virginia","NCAA",3,"Old Dominion Athletic Conference","Ryan Rohde",49100,"Small",1614,"Methodist"
"Regis College","https://www.regiscollege.edu/","Weston","Massachusetts","NCAA",3,"Great Northeast Athletic Conference","Scott Kessler",51420,"Small",887,"Catholic"
"Reinhardt University","https://www.reinhardt.edu/","Waleska","Georgia","NAIA","","Apalachian Athletic Conference","Trey Whittemore",28420,"Small",986,"Methodist"
"Rensselaer Polytechnic Institute – RPI","https://www.rpi.edu/","Troy","New York","NCAA",3,"Liberty League","Scott Hackett-Dalgliesh",64400,"Medium",5674,"None"
"Rhodes College","https://www.rhodes.edu/","Memphis","Tennessee","NCAA",3,"Southern Athletic Association","Billy Cameron",56300,"Small",1891,"None"
"Rivier University","https://www.rivier.edu/","Nashua","New Hampshire","NCAA",3,"Great Northeast Athletic Conference","James DeLanoy",41860,"Small",994,"Catholic"
"Roanoke College","https://www.roanoke.edu/","Salem","Virginia","NCAA",3,"Old Dominion Athletic Conference","Grant Zimmerman",39208,"Small",1768,"Lutheran"
"Robert Morris University – Pennsylvania","https://www.rmu.edu/","Moon Township","Pennsylvania","NCAA",1,"Northeast Conference","Craig McDonald",34940,"Medium",2741,"None"
"Roberts Wesleyan University","https://www.roberts.edu/","Rochester","New York","NCAA",2,"East Coast Conference","Rocky Delfino",38250,"Small",782,"Methodist"
"Rochester Institute of Technology","https://www.rit.edu/","Rochester","New York","NCAA",3,"Liberty League","Jake Coon",57016,"Large",12909,"None"
"Rockhurst University","https://www.rockhurst.edu/","Kansas City","Missouri","NCAA",2,"Great Lakes Valley Conference","Kevin Kelley",44650,"Small",1486,"Catholic"
"Roger Williams University","https://www.rwu.edu/","Bristol","Rhode Island","NCAA",3,"Commonwealth Coast Conference","Kevin Gould",45648,"Medium",3603,"None"
"Rollins College","https://www.rollins.edu/","Winter Park","Florida","NCAA",2,"Sunshine State Conference","Gary DiClementi",62950,"Medium",2371,"None"
"Rosemont College","https://www.rosemont.edu/","Rosemont","Pennsylvania","NCAA",3,"Colonial States Athletic Conference","",21175,"Small",347,"Catholic"
"Russell Sage College","https://sage.edu/","Troy","New York","NCAA",3,"Empire 8 Athletic Conference","Erich Skelly",36614,"Small",1085,"None"
"Rutgers University","https://admissions.rutgers.edu/","Piscataway","New Jersey","NCAA",1,"Big Ten Conference","Brian Brecht",33734,"Very Large",35082,"None"
"Sacred Heart University","https://www.sacredheart.edu/?utm_source=niche&utm_medium=organic&utm_campaign=niche&utm_term=visit&utm_content=hpbutton","Fairfield","Connecticut","NCAA",1,"Northeast Conference","Jon Basti",52090,"Medium",6856,"Catholic"
"Saint Anselm College","https://www.anselm.edu/","Manchester","New Hampshire","NCAA",2,"Northeast-10 Conference","Drew Bourdeau",45360,"Medium",2018,"Catholic"
"Saint Joseph's College of Maine","https://www.sjcme.edu/","Standish","Maine","NCAA",3,"Great Northeast Athletic Conference","Matt Gilbert",44120,"Small",747,"Catholic"
"Saint Joseph's University","https://www.sju.edu/","Philadelphia","Pennsylvania","NCAA",1,"Atlantic 10 Conference","Scott Meehan",53060,"Medium",4594,"Catholic"
"Saint Leo University","https://www.saintleo.edu/","Saint Leo","Florida","NCAA",2,"Sunshine State Conference","Chad Marino",28360,"Medium",4116,"Catholic"
"Saint Michael's College","https://www.smcvt.edu/","Colchester","Vermont","NCAA",2,"Northeast-10 Conference","Alex Smith",47640,"Small",1143,"Catholic"
"Saint Vincent College – Pennsylvania","https://www.stvincent.edu/","Latrobe","Pennsylvania","NCAA",3,"Presidents' Athletic Conference","Zach Wilfong",42416,"Small",1244,"Catholic"
"Salem State University","https://www.salemstate.edu/","Salem","Massachusetts","NCAA",3,"Massachusetts State Collegiate Athletic Conference","Stephen Driscoll",18961,"Medium",3754,"None"
"Salisbury University","https://www.salisbury.edu/","Salisbury","Maryland","NCAA",3,"Empire 8 Athletic Conference","Jim Berkman",21332,"Medium",5776,"None"
"Salve Regina University","https://www.salve.edu/","Newport","Rhode Island","NCAA",3,"Commonwealth Coast Football","Patrick Cooney",47930,"Medium",2064,"Catholic"
"Savannah College of Art & Design","https://www.scad.edu/","Savannah","Georgia","NAIA","","Sun Conference","Justin Moe",40595,"Large",12642,"None"
"Seton Hill University","https://www.setonhill.edu/","Greensburg","Pennsylvania","NCAA",2,"Great Midwest Athletic Conference","Chris Ilse",43774,"Small",1459,"Catholic"
"Sewanee – The University of the South","https://new.sewanee.edu/","Sewanee","Tennessee","NCAA",3,"Southern Athletic Association","Nick DiBernardo",58226,"Small",1594,"Episcopal"
"Shenandoah University","https://www.su.edu/","Winchester","Virginia","NCAA",3,"Old Dominion Athletic Conference","Tim Marshall",37860,"Medium",2055,"Methodist"
"Shorter University","https://www.shorter.edu/","Rome","Georgia","NCAA",2,"Peach Belt Conference","Stefan Duckett",23514,"Small",1063,"Baptist"
"Siena College","https://www.siena.edu/","Loudonville","New York","NCAA",1,"Metro Atlantic Athletic Conference","Tim Cox",44405,"Medium",3382,"Catholic"
"Skidmore College","https://www.skidmore.edu/","Saratoga Springs","New York","NCAA",3,"Liberty League","Joe Martin",70430,"Medium",2671,"None"
"Southern New Hampshire University","https://campus.snhu.edu/","Manchester","New Hampshire","NCAA",2,"Northeast-10 Conference","Paul Calkins",17010,"Medium",2285,"None"
"Southern Virginia University","https://svu.edu/","Buena Vista","Virginia","NCAA",3,"Capital Athletic Conference","Jason Lamb",20040,"Small",931,"None"
"Southwestern University","https://www.southwestern.edu/","Georgetown","Texas","NCAA",3,"Southern Collegiate Athletic Conference","Bill Bowman",53288,"Small",1459,"Methodist"
"Spalding University","https://www.spalding.edu/","Louisville","Kentucky","NCAA",3,"St. Louis Intercollegiate Athletic Conference","Kurt Ohlen",27850,"Small",513,"Catholic"
"Springfield College","https://springfield.edu/","Springfield","Massachusetts","NCAA",3,"ECAC (Division III, Football I-AA), Eastern Intercollegiate Volleyball Association (Division III), Empire Eight (Division III), New England College Wrestling Association (Division III), New England Women's and Men's Athletic Conference (Division III), Pilgrim League (Division III)","Sean Quirk",43707,"Small",1904,"None"
"St. Ambrose University","https://www.sau.edu/","Davenport","Iowa","NAIA","","Chicagoland Collegiate Athletic Conference","Devin Caesar",35598,"Small",1937,"Catholic"
"St. Bonaventure University","https://www.sbu.edu/","Saint Bonaventure","New York","NCAA",1,"Atlantic 10 Conference","Brendan Storrier",38950,"Small",1875,"Catholic"
"St. John Fisher College","https://www.sjf.edu/","Rochester","New York","NCAA",3,"Empire 8 Athletic Conference","Dave Dobbins",40090,"Medium",2525,"Catholic"
"St. John's University – New York","https://www.stjohns.edu/","Queens","New York","NCAA",1,"Big East Conference","Justin Turri",50110,"Medium",9578,"Catholic"
"St. Lawrence University","https://www.stlawu.edu/","Canton","New York","NCAA",3,"Liberty League","Mike Mahoney",65900,"Small",1918,"None"
"St. Mary's College of Maryland","https://www.smcm.edu","St. Mary's City","Maryland","NCAA",3,"Capital Athletic Conference","Jason Childs",32244,"Small",1545,"None"
"St. Thomas Aquinas College","https://www.stac.edu/","Sparkill","New York","NCAA",2,"East Coast Conference","Brett Capps",39450,"Small",1859,"None"
"Stevens Institute of Technology","https://www.stevens.edu/","Hoboken","New Jersey","NCAA",3,"Empire 8 Athletic Conference","Gene Peluso",65606,"Medium",4190,"None"
"Stevenson University","https://www.stevenson.edu/","Stevenson","Maryland","NCAA",3,"Middle Atlantic Conferences","Paul Cantabene",39708,"Medium",2753,"None"
"Stockton University","https://www.stockton.edu/","Galloway","New Jersey","NCAA",3,"New Jersey Athletic Conference","Kevin Zulauf",25258,"Medium",7266,"None"
"SUNY Binghamton University","https://www.binghamton.edu/","Vestal","New York","NCAA",1,"America East Conference","Kevin McKeown",26950,"Large",14408,"None"
"SUNY Canton","https://www.canton.edu/","Canton","New York","NCAA",3,"Other","",17490,"Medium",2345,"None"
"SUNY College at Brockport","https://www.brockport.edu/","Brockport","New York","NCAA",3,"Empire 8 Athletic Conference","Nick Fiorentino",14140,"Medium",4840,"None"
"SUNY College at Oneonta","https://suny.oneonta.edu/","Oneonta","New York","NCAA",3,"State University of New York Athletic Conference","Pete Owens",19195,"Medium",4760,"None"
"SUNY College of Agriculture & Technology at Cobleskill","https://www.cobleskill.edu/","Cobleskill","New York","NCAA",3,"North Eastern Athletic Conference","Greg Valachovic",16980,"Small",1673,"None"
"SUNY Cortland","https://www2.cortland.edu/","Cortland","New York","NCAA",3,"State University of New York Athletic Conference","Lelan Rogers",18725,"Medium",5772,"None"
"SUNY Delhi","https://www.delhi.edu/","Delhi","New York","NCAA",3,"Mountain Valley Collegiate Conference","Sam Miller",12480,"Medium",2223,"None"
"SUNY Farmingdale State College","https://www.farmingdale.edu/","Farmingdale","New York","NCAA",3,"Skyline Conference","Sean Chamberlain",18486,"Medium",7622,"None"
"SUNY Genesee Community College","https://www.genesee.edu/","Batavia","New York","JC","","Western New York Athletic Conference","Kevin Henneberry",6500,"Small",1443,"None"
"SUNY Geneseo","https://www.geneseo.edu/","Geneseo","New York","NCAA",3,"State University of New York Athletic Conference","Ian Nash",36569,"Medium",3994,"None"
"SUNY Herkimer County Community College","https://www.herkimer.edu/","Herkimer","New York","JC","","Mountain Valley Collegiate Conference","Bob Leary",5776,"Small",940,"None"
"SUNY Hudson Valley Community College","https://www.hvcc.edu/","Troy","New York","JC","","Mountain Valley Collegiate Conference","Nick Vennard",11750,"Medium",4675,"None"
"SUNY Jefferson Community College","https://www.sunyjefferson.edu/","Watertown","New York","JC","","Mid-State Athletic Conference","Chad Parker",6048,"Small",1086,"None"
"SUNY Maritime College","https://www.sunymaritime.edu/","Throggs Neck","New York","NCAA",3,"Eastern Collegiate Football Conference","Justin Manjares",18450,"Small",1167,"None"
"SUNY Mohawk Valley Community College","https://www.mvcc.edu/","Utica","New York","JC","","Mountain Valley Collegiate Conference","Nick Evanoff",8695,"Medium",2474,"None"
"SUNY Monroe Community College","https://www.monroecc.edu/","Rochester","New York","JC","","Western New York Athletic Conference","Jason Tebo",10400,"Medium",4694,"None"
"SUNY Morrisville","https://www.morrisville.edu/","Morrisville","New York","NCAA",3,"Empire 8 Athletic Conference","Christopher Cooper",19189,"Small",1700,"None"
"SUNY New Paltz","https://www.newpaltz.edu/","New Paltz","New York","NCAA",3,"State University of New York Athletic Conference","Kroy Arnold",18434,"Medium",5564,"None"
"SUNY Oswego","https://www.oswego.edu/","Oswego","New York","NCAA",3,"State University of New York Athletic Conference","Andrew Daly",16980,"Medium",5517,"None"
"SUNY Plattsburgh","https://www.plattsburgh.edu/","Plattsburgh","New York","NCAA",3,"State University of New York Athletic Conference","Zach Nedbalski",18791,"Medium",3404,"None"
"SUNY Potsdam","https://www.potsdam.edu/","Potsdam","New York","NCAA",3,"State University of New York Athletic Conference","Gill Conners",18622,"Small",1894,"None"
"SUNY Purchase College","https://www.purchase.edu/","Purchase","New York","NCAA",3,"Skyline Conference","Jake Fitzgerald",18863,"Medium",2918,"None"
"SUNY Stony Brook University","https://www.stonybrook.edu/","Stony Brook","New York","NCAA",1,"Colonial Athletic Association","Anthony Gilardi",30350,"Large",16493,"None"
"SUNY Tompkins Cortland Community College","https://www.tompkinscortland.edu/","Dryden","New York","JC","","Mid-State Athletic Conference","Justin Coffman",13055,"Small",1194,"None"
"SUNY University at Albany","https://www.albany.edu/","Albany","New York","NCAA",1,"America East Conference","Scott Marr",31926,"Large",12017,"None"
"Susquehanna University","https://www.susqu.edu/","Selinsgrove","Pennsylvania","NCAA",3,"Centennial Conference","Stewart Moan",57400,"Medium",2113,"None"
"Sussex County Community College","https://www.sussex.edu/","Newton","New Jersey","JC","","Region 19","Matt Sciancalepore",9024,"Small",1348,"None"
"Swarthmore College","https://www.swarthmore.edu/","Swarthmore","Pennsylvania","NCAA",3,"Centennial Conference","Pat Gress",68766,"Small",1641,"None"
"Syracuse University","https://www.syracuse.edu/","Syracuse","New York","NCAA",1,"American Athletics Conference","Pat March",63061,"Large",15081,"None"
"Taylor University","https://www.taylor.edu/","Upland","Indiana","NAIA","","Crossroads League","Chad Newhard",39104,"Small",1863,"Christian (General)"
"Tennessee Wesleyan University","https://www.tnwesleyan.edu/","Athens","Tennessee","NAIA","","Appalachian Athletic Conference","Kevin Parker",30590,"Small",766,"Methodist"
"Thiel College","https://www.thiel.edu/","Greenville","Pennsylvania","NCAA",3,"Presidents' Athletic Conference","Alex Skvarch",36864,"Small",789,"Lutheran"
"Thomas College","https://www.thomas.edu/","Waterville","Maine","NCAA",3,"North Atlantic Conference","(Defensive Coordinator)Tom Sheridan",30896,"Small",696,"None"
"Thomas More University","https://www.thomasmore.edu/","Crestview Hills","Kentucky","NCAA",2,"Great Midwest Athletic Conference","Sean McGinnis",33060,"Small",1323,"Catholic"
"Tiffin University","https://www.tiffin.edu/","Tiffin","Ohio","NCAA",2,"Great Midwest Athletic Conference","Travis Brown",32400,"Small",1555,"None"
"Towson University","https://www.towson.edu/","Towson","Maryland","NCAA",1,"Colonial Athletic Association","Shawn Nadelen",31332,"Large",14548,"None"
"Transylvania University","https://www.transy.edu/","Lexington","Kentucky","NCAA",3,"Heartland Collegiate Athletic Conference","Logan Otto",44980,"Small",1001,"None"
"Trine University","https://www.trine.edu/","Angola","Indiana","NCAA",3,"Michigan Intercollegiate Athletic Association","Ryan Kuhn",35600,"Medium",2341,"None"
"Trinity College – Connecticut","https://www.trincoll.edu/","Hartford","Connecticut","NCAA",3,"New England Small College Athletic Conference","Scott Heisler",67420,"Medium",2181,"None"
"Tufts University","https://www.tufts.edu/","Medford","Massachusetts","NCAA",3,"New England Small College Athletic Conference","(Defensive Coordinator)Stephen Toomy",71982,"Medium",6685,"None"
"Tusculum University","https://site.tusculum.edu/","Greeneville","Tennessee","NCAA",2,"South Atlantic Conference","Mike Brisbin",28500,"Small",827,"Presbyterian"
"Union College – New York","https://www.union.edu/","Schenectady","New York","NCAA",3,"Liberty League","Derek Witheford",71676,"Medium",2057,"None"
"Union County College","https://www.ucc.edu/","Cranford","New Jersey","JC","","Garden State Athletic Conference","Salah Saadaoui",9500,"Medium",3649,"None"
"United States Air Force Academy","https://www.usafa.edu/","Usafa","Colorado","NCAA",1,"Mountain West Conference","Bill Wilson","","Medium",4124,"None"
"United States Coast Guard Academy","https://www.uscga.edu/","New London","Connecticut","NCAA",3,"New England Women's & Men's Athletic Conference","Ray LaForte","","Small",1081,"None"
"United States Merchant Marine Academy","https://www.usmma.edu/","Kings Point","New York","NCAA",3,"New England Women's & Men's Athletic Conference","Dan Paccione",945,"Small",947,"None"
"United States Military Academy","https://www.westpoint.edu/","West Point","New York","NCAA",1,"Patriot League","Kyle Georgalas","","Medium",4508,"None"
"United States Naval Academy","https://www.usna.edu/homepage.php","Annapolis","Maryland","NCAA",1,"Patriot League","(Defensive Coordinator)John Orsen","","Medium",4465,"None"
